id,sentimen,tweet,emoticon_score,ortografi,exclamation,lexicon_score,jj,neg,lexicon_pos_score,lexicon_neg_score
31,1,kelas 11 duduk bang langsung deg degan jatuh hati iomenit orang dulunya guakira freaky habis,0,0.0,0,1,0,0,1,0
32,1,aamiin mokasih iya enak selamat ulang da ade sukses,1,0.0,0,4,2,0,4,0
33,1,asik bicara hasil perata bangun capai ekonomi banding bicara keburu calon belah keburu si gubernur a b,0,0.043478260869565216,0,-1,0,0,1,2
34,0,tolol didik kacung erti ibadah puasa takut lapar rakyat milik nikmat tanah liang lahatnya,0,0.0,2,0,1,0,2,2
35,0,tidak suka orang sombong tanah 7 hektar aset limpah saldo rekening 1-1 digit itu rekening investasi dubai diam diam,0,0.7435897435897436,0,-4,0,1,0,4
36,1,pimpin sejati rt anesasembiring love you jokowi,0,0.08333333333333333,1,2,0,0,2,0
37,0,tolong maksud bukti guna resi transaksi transaksi transaksi supplier tidak double resi,0,0.0,0,0,0,0,0,0
38,1,kabar sehat,1,0.0,0,1,1,0,1,0
39,0,njir,0,0.0,0,0,0,0,0,0
40,1,biar sepi izin sama ikat restu semesta sayang paruh hati,0,0.0,0,0,0,1,1,1
41,0,mustinya biarin bom pas tidur rapat ledak tidak rasa iya saudara laki laki tau alam laen amp,0,0.0,0,1,1,1,2,1
42,1,masuk bulan mensive baik tidak uang ramah perhati orang erti bat tidak nuntut bikin sayang bat,0,0.0,0,2,0,2,3,1
43,0,aduh mentang cantik nilai kurang orang senak iya sombong mbak cantik milik tuhan,0,0.0,0,-1,0,0,2,3
44,1,moga tayang film 2-2menit antara tebar benih benih cinta tumbuh saudara umat manusia ansormajusatubarisan,0,0.0,0,2,0,0,2,0
45,1,with the girlfriend maaf bang dipinjem si eneng i need my long overdue dose of lexynes dinnerdate,0,0.08695652173913043,0,0,0,0,0,0
46,0,sangat sakit mata baca salah dih cont,0,0.0,0,-2,2,0,0,2
47,0,senyum ramah lohsama fansnya angkuh rodo ngadoh piengono nek tidak rasakne sumpah wagu mas polah,0,0.0,1,0,1,1,1,1
48,0,teman egois penghianat x,0,0.0,0,-1,0,0,0,1
49,1,god morning sayang have a bagus day iya,1,0.0,0,2,0,0,2,0
50,1,sayang gede sangat sih kamutidak asa iya asa kemarin lahir gede bawel sangat,0,0.0,0,1,0,0,1,0
51,1,teman hubung tidak pacar 2 mkanya gangguin orang barangkali knalan bilang kemren cari pasang ngeetiin tugas emotxtawa w,1,0.02857142857142857,0,0,0,1,0,0
52,1,yaudahlah indah bahagia,1,0.0,0,1,1,0,2,1
53,1,pasti qarin e emotxtawa bismilah iyah rin       optimis okeuke,2,0.0,0,2,0,0,2,0
54,0,sesat sangat ajar teori sosial kasih angka rumus bikin tidak nyaman jatuh orang tinggal kelas,0,0.0,0,-1,1,1,1,2
55,1,tiada henti rnya q ucap syukut alhamdulillah uang panitia kemarin alhamdulillah trmkah bri brlmpah mski tidak sbrpa inysllh lma-lma mmbukit amn,0,0.0,0,2,1,1,2,0
56,1,senang senang puas nya selagi muda,0,0.0,0,2,2,0,2,0
57,0,kalah saing ibuk balas smsnya sangat      ,0,0.0,0,-1,1,0,0,1
58,0,hp apan sih ai emotxtawa hpe v cie tertawa moga tular hp chandra lan tidak mah hpe,1,0.0,0,3,0,1,3,0
59,0,hidup zaman presiden hebat suharto beliau aman tenang masyarakat tidak tenang kaum pki kaum rampok kaum bandit kaum jabat negara otak kosong kaum tidak suka suharto,0,0.17777777777777778,0,0,1,2,5,5
60,1,gudeg mbarek bu hj amad foto google sengaja biar teman teman bayang bagi indah,0,0.0,0,1,1,0,2,1
61,0,malu malu etika aspek hidup rakyat sanggah tunjuk lontar bersih tidak bersih,0,0.0,0,-1,2,1,1,2
62,1,finya fly over keren habis flyover summarecon bekas pic  http t co lcrnrorshg,0,0.0,0,1,0,0,1,0
63,1,congratulations selamat mildawati raih new silver leader moga lancar sukses paytren,0,0.047619047619047616,0,4,2,0,4,0
64,1,ulfahmatswal google play lumayan bagus,0,0.0,0,1,1,0,1,0
65,1,w emotxtawa iya man iya hapy birthday iya pimpin gbynand atbfy canda man,1,0.0,0,1,0,0,1,0
66,0,sedih si lnjut rom diam ah canda sedih,-1,0.0,0,-3,0,0,1,4
67,1,alhamdulillah listrik nyala warga takziah diam almarhum warga wafat terima kasih c,0,0.0,0,3,0,0,3,0
68,0,deh spv deh tidur pulang subuh pagi kerja tidur brgkt rumah kdg 3 ketemu iya ngatain posesif tidak tinggal pgn makan lauk samyang,0,0.0,0,1,2,1,2,1
69,0,bekas sayang tidak elak 1 bekas panas sangat 2 bekas weekend sore malam macet sangat diatasin sih panas iya pakai ac ngindarin macet rencana jadwal rumah,0,0.019230769230769232,0,-2,4,1,0,2
70,1,avatar lucu he,0,0.0,0,1,0,0,1,0
71,0,et jorok sangat si bos,0,0.0,0,-1,0,0,0,1
72,0,sakit siksa rindu sakit ngebatin nungu sakit sakit cinta,0,0.0,0,-4,1,0,1,5
73,0,hesaya kemarin hoak tetang pohon plastik kali akun ygdisebarkan facebook nol skaligus nonjok muka junjung sdr terima kasih,0,0.0,0,0,0,0,1,1
74,0,kdrt   kasar banting prlu he tertawa tabok damnichan,0,0.0,0,1,1,1,2,1
75,1,alhamdulillah coba password daftar minggu tanggal 16 antri terimakasih,0,0.0,0,2,0,0,2,0
76,0,kali pakai fasilitas laboratorium kampus bayar uang bayar semster tidak doain buruk,0,0.0,0,-1,2,1,1,2
77,1,kesini ramai sob tenang,1,0.0,0,1,1,0,2,1
78,0,replyigbb im not robot fight for my way its oke thats cinta goblin inget kayak suka mewek drama tinggal tinggal cengeng,1,0.0,0,1,1,0,3,2
79,0,sinyal jelek,0,0.0,1,-1,0,0,0,1
80,0,ah dusta kaya,0,0.0,0,-1,1,0,0,1
81,1,orang kurus makan tidak gede lho orang gendut mkn dikit gendut minder orang kurus gemuk syukur allah,1,0.02040816326530612,1,-2,1,1,2,4
82,0,map iya ik putry khilaf sombong wa emotxtawa bau ik kaya tae,1,0.0,0,-3,1,0,0,3
83,1,kurnia mega bintang timnas thumbsup http t co drfyijeswg,0,0.0,0,2,0,0,2,0
84,1,cinta alas senyum indah tertawa terkadang cinta kenang tidak lupa,0,0.0,0,5,0,1,5,0
85,1,selamat pagi selamat beraktifitas iya,0,0.0,0,2,1,0,2,0
86,0,sakit gigi sakit hati bareng bilang terima kasih lho tuhan kasih sempat langka,1,0.0,0,-1,2,0,2,3
87,0,kaya anak kostan tidak uang lapar iya tuhan,-1,0.0,0,0,0,1,1,1
88,1,hepibesdey mbaak cantek umur sehat mulia pribadi tetep tel yetapi simpenan orang,0,0.0,0,2,1,0,2,0
89,0,mau fasilitasin kerja hasil omonganya iya kosong motormobile ofice ,1,0.0,0,0,0,0,1,1
90,1,gilesaya lihat cover jack the giant slayer gemes sangat nicho gaya keren habis naksir 3,1,0.0,0,2,1,0,2,0
91,1,tidak acuh diem-diem perhati sangat anak nya galak cengeng disiplin sangat lucu ramah jago masak pinter ngaji rajin sangat sholat orang nya kuat emotxtawa h sayang sangat mama,2,0.0,0,8,2,1,10,2
92,1,yah nama cinta cinta sangat cinta lumayan cinta cinta tidak pisah yah nama cinta ngeplanning besok cinta persen,0,0.0,0,7,0,1,7,0
93,0,diam lawan memparalat hukum tuju kuasa diam lawan front linernya komunis kedok pancasila,1,0.0,1,-6,0,1,1,7
94,0,sometimes flashback is pedih egy jahat sangat    ,0,0.0,0,-2,0,0,0,2
95,0,cewek galak cewek goblik pakai feeling tidak pakai otak egois baper semena tidak empati manja tidak salah tidak responsible lempar tanggung wait cowo sih dasar galak wq,0,0.0,0,-3,1,4,2,5
96,1,hai cantik 3 waiting juni  ,1,0.0,0,1,0,0,1,0
97,1,alhamdulillah tidak inferior islam agama sempurna umat inferior islam agama islam liberal,0,0.0,0,2,3,1,2,0
98,1,sayang,0,0.0,0,1,0,0,1,0
99,1,price list facebook nya web nya moga bantu anyway myday karaoke sana,2,0.0,0,2,0,0,2,0
100,0,misteri perempuan korban leceh seksual speak up ganas jari mulut perempuan,0,0.0,0,-3,1,0,0,3
101,1,bahagia birthday sender wish you althe best moga tahun kasih sehat sukses orang sayang once again bahagia birthday,0,0.0,2,5,0,0,5,0
102,0,tidak mnta maap kalik beda perspektif mah wajar mah ngapus twit neg bela simic vtidak lapor pulisi bhwa korban leceh mah tetep urus private mreka bdua dm awa,0,0.022727272727272728,0,-3,1,1,3,6
103,1,emotxtawa co bahak bahak pas pel pkn itutuh sd cilampang tertawa,1,0.0,0,2,0,0,2,0
104,0,tidak tidak an bias jawa jawa lihat twitmu kemero ,-1,0.0,0,0,1,2,0,0
105,1,habis buka facebook thinking iya teman teman kenal teman sd pas jaman kuliah sibuk neng lihat feeling very grateful have a live in this life alhamdulillah,0,0.020833333333333332,0,2,1,0,2,0
106,0,wakwkw maaf yud salah ngotot huh,0,0.0,0,-1,0,0,0,1
107,0,tgb sby pmarahanarab rapat tidak dengar seru indonesia butuh pimpin kredibel jokowi tidak kredibel akugppkok,0,0.08333333333333333,0,0,0,2,0,0
108,0,koneksi axis parah sangat mari  hotel http t co uwoatijxqs,0,0.05555555555555555,0,-1,1,0,0,1
109,1,serah ku sama sayang lawan dunia rendah tidak sama sayang darah,0,0.0,0,1,1,2,2,1
110,0,orang egois dimusnahkn duduk kakak tidak mindahin brgnya ditaro disblh orang diri emotxtawa pkr kereta mbah,1,0.0,1,-1,1,1,0,1
111,1,nama asa tidak dibohongin bikin jatuh cinta bikin nyaman orang beda cewek cowo selamat sore lupa minum minum yakult,1,0.0,0,3,1,1,4,1
112,0,twt tolong coba tatar biar sopan santun sombong ajar,0,0.0,0,2,0,0,3,1
113,1,esbuah srb bolak gojek rorb beli 4 es buah rorb aorb worth it asli kota jual ceban 1 jarang parah emotxtawa,1,0.0,0,0,2,0,1,1
114,1,sayang iya sayang sangat manja iya manja sangat alem iya alem sangat marah iya marah sangat koplak iya ditanyaiya gaes koplak lebih,0,0.0,0,0,1,0,2,2
115,0,kalimat masasih uang kemarin dksh gacukup boros bangetsih uang tinggal gin lantas si atur uang murka,1,0.0,0,-3,1,0,0,3
116,0,hoh bar sakit,-1,0.0,0,-1,1,0,0,1
117,0,stlah upah traktir neng kaleum bray msi tanggal,0,0.0,0,0,0,0,0,0
118,0,sangat khawatir dukung penuh nu presiden coba utak atik delegitimasi istilah islam nusantara kenal kembang nu muktamar 2015 soal agama politik,0,0.05555555555555555,0,-2,2,0,1,3
119,0,niruin sistem sekolah tidak kreatif sekolah norak sih iya apa pakai ungulan ungulan iya emotxtawa,1,0.0,0,-2,1,1,0,2
120,1,jatuh cinta ryan gosling the notebook tidak bosan nonton ulang land 10 kali nonton land mata sayu senyum lembut gosling sangat,0,0.0,0,3,0,1,3,0
121,1,aamiin terima kasih deh selamat ulangtahun cinta sukses dunia akhirat iya,0,0.0,0,5,0,0,5,0
122,1,manusia tibatiba nyita perhati gara-gara kira orang kalem allahu bobrok sangat bobrok cinta emotxtangis bucin sangat sori,1,0.0,0,0,1,0,2,2
123,0,salah ngalah,0,0.0,1,-1,1,0,0,1
124,1,kalung hayom bagus,0,0.0,0,1,1,0,1,0
125,1,cipta tuhan superhero malaikat laku adik anak nomor murah hati mohon moga cepat adik menjauhdarijanji,0,0.0,0,4,2,0,4,0
126,1,sayang sayang sayang sakit sayang sungguh emotxtawa,1,0.0,0,3,0,0,4,1
127,0,supir bak hilunya tolol jalan lebar bisabisanya ngelindes kaki w pas kaki kelindes mundur maju cepat cepat hah hoh hah hoh sakit tot bodoh pelihara kucing pelihara,0,0.0,0,0,3,0,4,4
128,1,cie selamat tanggal iya fatrin longlast kep romantic iya seyamet tanggal iya bebeb emotxtawa,1,0.0,0,1,1,0,1,0
129,0,banyak nonton bangkit kasur lemas ,-1,0.0,0,0,0,1,1,1
130,1,muda-mudahan puasa kali bawa ubah jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi,0,0.0,0,0,0,0,0,0
131,0,pusing        ,0,0.0,0,-1,0,0,0,1
132,1,ken menang tidak ngeluarin air mata pagi ken senyum bawa hati siang siang gituin tetep enteng,0,0.0,0,0,1,1,2,2
133,0,tolong erti modal tidak emotxtawa pikir kak zha saving encore korea galaot t,0,0.0,0,0,0,1,0,0
134,1,selamat malam cantik blsan siang,0,0.0,0,2,0,0,2,0
135,1,style kuliah doyoung simple tidak gaya bikin jatuh cinta pokok doyoung cocok gaya anak ekonomi prody sastra inggris ngejemput selesai kuliah,0,0.0,0,3,0,1,3,0
136,0,suka tidak habis pikir orang ngatain musibah timpa orang anggap azab ktk timpa golong coba ku misuh matane,0,0.034482758620689655,1,-1,1,1,1,2
137,1,kdg ktemu orang socmed trnyata temennya si tidak si eh trnyata si mantan si trnyata si bikin konten yutub why why the world is so smol,0,0.0,2,0,0,1,0,0
138,0,gaya banci sok jabat meting cuih a emotxtawa meting tidak beres z,1,0.0,1,-1,0,1,0,1
139,0,ajar agama tuntas nga ngarang hidup isa sebut alquran jelek-jelekin isa baca alquran tidak,0,0.0,0,1,1,1,2,1
140,0,tidak ajar dampak negatif omong kata kasar politis sebut jokowi sinting muka gagas santri ucap bodoh sumbang menang presiden pilpres 2014,0,0.0,0,-5,1,1,1,6
141,0,biarin noldy orang tua kasihan lihat orang tidak kerjan h,0,0.0,0,-3,1,1,0,3
142,1,iya allah tugas selesai putri kecil lucu cinta wanita cantik bahagia suami,0,0.0,0,5,0,0,5,0
143,0,tanggung tinggal ramona sari jawat aktivis salah juang tangguh hak sehat seksual reproduksi perempuan indonesia moga maha kenan peluk pulang tuhan tuhan ambil,0,0.0,0,3,3,0,4,1
144,0,supir taxi nya keluh macet tidak macet supir pesawat edisi abu,0,0.0,1,-1,2,1,1,2
145,0,tolong harga privasi jelasin tidak erti pikir sudut pandang sudut pandang si x sahabat udahlah,0,0.0,0,0,0,1,0,0
146,1,sama tidak pacar puasa iya sabar tahan tunggu nikmat hakiki percaya bahagia semangat tunggu buka semangatpuasa,0,0.0,0,7,1,1,7,0
147,1,oke maju hayom,0,0.0,0,2,0,0,2,0
148,1,sentuh langsung buah gol untung coba sejajar iya andy cole shearer berbatov,0,0.0,0,1,0,0,1,0
149,1,alhamdulillah selesai baca buku moga ilmu oleh berkah manfaat aamiin ayomembaca satuharisatubab jakarta,0,0.0,0,6,0,0,6,0
150,0,nonton film bioskop tidak tiket nonton iya paku payung kasih nyawa tidak tiket tetep maksa tolol sih,0,0.027777777777777776,0,-1,1,2,0,1
151,1,sukadeh teman ngetweet konten wawas dunia nyata share ilmu nyinyir kritik manfaat nyambung ngomongnya tidak bahas lamtur lipen,0,0.0,0,1,1,1,2,1
152,0,moga roboh timpa himbauan keras tidak sembarang situs sejarah sadis paksa kok jamaah garansi umur hidup,0,0.0,0,1,2,1,4,3
153,0,dear kirim dokumen jakarta sby pakai yes kirim senin ajun selasa sjuni skr rabu sampe-sampe bikin esmosi bayar pakai yes tidak nyampe hari nomor resi 011060039617518,0,0.037037037037037035,2,0,0,1,0,0
154,1,oldmoneygakngerasain main kocok sabun ambil gelas plastik masuk air sabun colek kocok pakai sikat gigi halus pakai sabun mandi kocok busa tidak erti fungsi emotxtawa l,1,0.0,0,1,2,1,1,0
155,0,indosat kesal,0,0.0,1,-1,1,0,0,1
156,0,miris cipta karya susah payah uras pikir tenaga materi kalah oknum jiplak dar terima beres manfaat karya orang gimmik sensasi,0,0.024390243902439025,0,-4,0,0,0,4
157,1,cinta sederhana tidak untuk untuk nonton,0,0.0,0,2,0,1,2,0
158,1,halo sahabat dahsyat mesti artis boming,0,0.0,0,1,1,0,1,0
159,1,percaya tuhan rencana orang buat salah tidak ulang,0,0.0,0,0,0,1,1,1
160,1,go seung jae song hyeri jadi nungguin urus orang ending hubung emotxtangis seung jae muncul bentar hasil rebut atensi mas choi myeong ho ganteng,-1,0.0,0,2,1,0,2,0
161,1,ku cerita kelak anak anak cinta inspirasi habis meeting tibatibacinta tibatibakangensuami tibatiba cerita orangyangkucintai jakarta,0,0.0,0,3,0,0,3,0
162,0,ter bodoh 540 download 7-70 sihhabis igb download about time eps 06 mishammburabi eps 06,0,0.0,0,-1,0,0,0,1
163,1,iya ampun bling cantik tertawa         ,0,0.0,0,2,0,0,2,0
164,0,kacamata sih  mata susah lihat,-2,0.0,0,-1,2,0,0,1
165,0,si aib anak buka aib mar  ah april on,0,0.0,0,-2,0,0,0,2
166,0,helloowpak asi games tinggal hitung minggu jakarta kelar benah tidak malu palembang 95 kerja kelar anies urusin trotoar selesai gubernur,0,0.0,0,0,0,1,0,0
167,0,mardani mingkem tidak masyarakat cerdas janganpilihpartaioposan sesat,0,0.2777777777777778,2,-1,0,1,1,2
168,1,pulang ngantor asyik lho tidak macet emotxtawa,2,0.0,0,2,1,1,2,0
169,1,dare completed indah sangat huuh lumayan makan enak hah emotxtawa,2,0.0,0,2,1,0,2,0
170,0,anjing batu fucker fckng bodoh banci halah sumpahin nikah buselo,0,0.0,1,-2,0,0,0,2
171,0,bicara orang tidak asik pahit  ,0,0.0,0,-1,0,1,1,2
172,1,buset indosat sangat deh nge berentiin pakai bukan id indosat super wifi,0,0.0,0,0,0,0,0,0
173,0,astaghfirullah jam 10 istighfar marah marahin orang please refer to my last e mail alias bitch i just said so why are you asking again,0,0.3448275862068966,0,-1,0,0,0,1
174,0,pingang sakit tbtb ,-1,0.0,0,-1,0,0,0,1
175,1,semangat yeah am ready to work pt iahgames indonesia ,0,0.0,0,1,0,0,1,0
176,0,tuju bang bikin hidup tidak tenang iya tidak mikirin cari order enak gedeg bikin opik begitu,0,0.0,0,1,1,2,2,1
177,1,bagus hasil foto mama with karamina quickly pic ,0,0.0,0,1,2,0,1,0
178,1,terima kasih dinporapar kabupaten purbalingga rekan pramuwisata purbalingga partisipasi acara buka puasa hadir sinergi isi maju pariwisata,0,0.0,0,1,0,0,1,0
179,1,habis foto enak mangkal tertawa hakata ikousha pic ,0,0.0,0,1,1,0,2,1
180,0,tidak bukti tidak kabur bangsat cabul logika pikir orang waras cabul imam bela mampus takut tidak masuk surga,0,0.0,0,-2,1,3,3,5
181,1,sungguh indah cipta sang tuhan sangat pesona garis senyum manis sayang,0,0.0,1,2,0,0,2,0
182,0,ojo engko tingkat ganteng hilang gundul gundul gundul lama risih poni,0,0.0,0,-2,0,0,0,2
183,0,lihat postingannya simba via baru netijennya jahat ih bilang lebai via cedih woi cewek dm nga-nga mah marah,0,0.0,0,-2,2,0,0,2
184,1,serah tuhan kekuatiran takut angkat hidup nyaman tenteram serta allah percaya asih,0,0.0,0,5,0,0,5,0
185,1,cinta si hitam idung lebar ,0,0.0,0,0,1,0,1,1
186,1,terima kasih ayah bunda percaya treatment baby raesha moga baby raesha sehat bahagia momnjogadingserpong giftawayforcustomer,0,0.0,0,4,1,0,4,0
187,1,ih canda bin dipaketin langsung sana,0,0.0,0,1,0,0,1,0
188,1,selamat pagi kaum hawa koda,0,0.0,0,1,0,0,1,0
189,0,11 25 selasa juli-juli018 lihat berita tokoh tokoh elit politik isi klaim konflik beda dapat jatuh otak dengkul 2018 jijik,0,0.0,0,-4,0,0,0,4
190,1,selamat pagi kesayangankuh c             ,0,0.0,0,1,0,0,1,0
191,1,emotxtawa bahak bahak oiya em bm calista tidak baca tenang  ,1,0.0,0,0,0,1,1,1
192,0,sekian thread baca thread aneh sih tulis sumpah aneh sangat ngatain bikin thread hadeh tidak jago nulis tulis tidak beranta thread mbak,0,0.0,0,-5,2,2,0,5
193,0,sehat hidupin data seluler muncul notif kanan data seluler otomatis mati ulang padal kuota msih 1 gb tidak pakai respon respon iya,0,0.0,0,1,3,1,2,1
194,1,manusia polisi jaga tugas makam mantan presiden mustafa kemal patung tarik foto emotxtawa,1,0.0,0,1,2,0,1,0
195,0,malas iya dinas malam orang tidur kerja sh libur keluh rumah seni triplek ,0,0.0,0,0,0,0,2,2
196,1,emotxtawa seru ea,1,0.0,0,1,0,0,1,0
197,1,udara dukung sangat makan habis tidur hoam o,0,0.0,0,2,0,0,2,0
198,0,wowtuduhan rujuk nya please bilang mas,0,0.0,0,0,1,0,0,0
199,1,takdir ulang indah alam sejuk tempat sejarah sesuai he terima kasih tim ici adventure pekanbaru giat bahagia,0,0.034482758620689655,0,4,2,0,4,0
200,0,serang fansite suruh take down foto pas konser nyuruh fansite tutup fansite tutup iya sumber atm tutup emotxtawa,1,0.0,0,-1,0,0,1,2
201,0,barang kirim nomor resi 013150189591518 antar iya tanggal 5 6 jam 09 24 wib angke pagi tidak terus alamat tuju,0,0.0,0,0,0,1,0,0
202,1,keren gila suasana malam asrama putri,0,0.0,0,2,0,0,2,0
203,0,motor bus mabok,0,0.0,0,0,0,0,0,0
204,0,bau emotxtawa sangat diketawain,0,0.0,0,-1,1,0,0,1
205,1,kangen luk dua tunggu love sayang,0,0.0,0,1,0,0,2,1
206,0,menang tidak,0,0.0,0,-1,1,1,0,1
207,1,jokowi hasil sangat deh pokok bikin acara pesta hibur rakyat monas macet manatahaan http t co piqhkoawzg,0,0.0,0,1,1,0,1,0
208,0,umur gthn omong kaya tante asthn  suka bocah sd culun polos,-1,0.0,0,1,1,0,1,0
209,1,terima kasih teman teman basis sedia luang panitia moga allah swt senantiasa rezeki halal berkah aamiin,0,0.03333333333333333,0,7,0,0,7,0
210,0,parah juni buat,0,0.0,1,-1,0,0,0,1
211,1,mie kuah kumis bareng thalia selamat makan home swet home pic ,0,0.0,1,2,1,0,2,0
212,1,peluk engkau erat tidak rebut mu peluk ku bahagia anniversary sayang gnov eimonths,0,0.0,0,2,0,1,2,0
213,1,alhamdulillah 3 30 juli is bahagia day congratsmy sissymeskipun gadapet snm jalan raih mimpi snm merah menang sengguk peluk dua eh terima satu nya pilih snm,0,0.0,0,1,1,0,2,1
214,1,nangru aceh darussalam istimewa al fatihah teuku markam salam hormat keluarga teuku markam rakyat indonesia,0,0.0,0,2,0,0,2,0
215,0,percaya lelaki mati siksa zaman mati tidak kunjung lupa tuhan jauh jauh tidak iya lupa,0,0.0,0,0,1,2,1,1
216,1,istimewa sedekah jumat,0,0.0,0,2,0,0,2,0
217,0,iya tidak liat ganggu jiwa tidak suka diliatin melulu uang uang wajib istri tidak bengkalai mah tidak suka sifat,0,0.0,0,-2,0,4,2,4
218,1,hibur hape tidak lihat recehkantwitter iya google assistant ngirimin joke hidup uang kembali,0,0.0,0,0,0,1,0,0
219,0,jakarta gelap tutup awan mendung siap naro ember digerojogan,0,0.0,0,-1,1,0,0,1
220,0,thae pkn susah sangat,0,0.0,1,-1,0,0,0,1
221,1,semangat pagi coi hotel santika tmi ,0,0.0,0,1,0,0,1,0
222,1,malam nyoba bikin overnight oat kadar pisang lebi oatnya tida lupa tambah chia seeds madu vsoy moga sahurqu manis angan angan,0,0.0,0,1,0,0,2,1
223,1,agred sih hidup bahagia syukur,1,0.0,1,3,0,0,3,0
224,1,tertawa tobat mah yah iya,1,0.0,0,1,0,0,2,1
225,1,rencana tuhan indah rencana,1,0.0,0,1,1,0,1,0
226,0,tutup rumah jam pws,-1,0.0,0,0,1,0,0,0
227,1,temu dengan takdir teman pilih jatuh cinta mu duga,0,0.0,0,1,0,0,1,0
228,1,enak nasi soto kantin adik emotxtawa fadilahgjgj enak nasi uduk pakai bala bala sambel emotxtawa rt pujalalo gaenak dedan,2,0.038461538461538464,0,0,0,0,0,0
229,0,sumpah iya komplen uang debet bca cepat dikembaliin b pn bca hari b pn minggu minggu dibalikin nominal debet gede bca mana that s why i cinta bca your service satisfies me always,0,0.1,0,2,2,0,2,0
230,1,selamat siang sahabat pos mohon maaf balas kirim terima iya sahabat terima kasih percaya layan fd,1,0.0,0,3,0,0,3,0
231,0,ah tidak temenan orang jahat ah   orang jahat cewek orang baek tindas ck,0,0.0,0,-2,0,1,0,2
232,1,terima kasih musik bagus konten konten bagus terima kasih beri semangat jalan down,0,0.0,0,5,2,0,5,0
233,1,ledaehwi ku sayang sabar iya ngehujat brrti tidak dukung teman wannable asli dukung adik manis,0,0.0,0,4,2,1,5,1
