id,sentimen,tweet,emoticon_score,ortografi,exclamation,lexicon_score,lexicon_pos_score,lexicon_neg_score,jj,neg
6079,0,tanggal lomba bareng smp ah semoga ketemu pokegagakhitam,0,0.0,1,1,1,0,0,0
6080,0,huah dasar lau eh cewek lau tidak marah tidak twtr,0,0.0,0,1,1,0,1,2
6081,0,lelah dian lelah hah ã å â ã â â½ _ ã å â ã â â½,0,0.0,0,-2,0,2,0,0
6082,1,selamat pagi teman teman khejucrabs selamat berkatifitas jangan lupa sarapan semangat,0,0.0,0,3,4,1,1,0
6083,1,puluh rebuan rt murah pokoknya beli baju a emotxtawa sialan diskonya berap,1,0.0,0,0,1,1,1,0
6084,0,they tidak kuat lambaikan tangan arah camera cameranya p,0,0.0,0,-1,0,1,2,1
6085,1,kuat iya,1,0.0,0,1,1,0,1,0
6086,1,tidak bandel disana sholat thu,0,0.0,0,2,2,0,0,1
6087,1,emotxtawa keren,1,0.0,0,1,1,0,0,0
6088,0,tidak mengerti bingung serba salah,0,0.0,0,-1,1,2,1,1
6089,0,jiah dingin butuh anget,0,0.0,1,-1,0,1,0,0
6090,1,alhamdulilah orang remove ana facebook ana bingung salah tergangu status ana bersosmed,0,0.0,0,-1,1,2,1,0
6091,0,waw ngertin sakit,1,0.0,0,-1,0,1,1,0
6092,1,hei wanita cantik invite erisa weding,0,0.0,0,1,1,0,0,0
6093,1,tidak pakai,0,0.0,0,0,0,0,0,1
6094,0,baong racun ih dititah ge baong ah sok nu beda sarua atuhla ih,0,0.0,0,-1,0,1,1,0
6095,1,cantik kak,0,0.0,0,1,1,0,0,0
6096,1,bagus bagusrt oke danangwahyuio siprt iya nang danangwahyuio iya rt,0,0.0,0,2,2,0,1,0
6097,1,terima kasih iya perhatian sangat tidak kehilangan deh,0,0.0,0,2,2,0,1,1
6098,1,cepat pagi morning ã â â ã â â ½0 ã â â,0,0.0,0,1,1,0,1,0
6099,0,twiter rakyat menertawakan presidenya memaki-memaki pejabat coba presiden berani menertawakan rakyatnya dunia maya,1,0.0,0,1,1,0,1,0
6100,0,kucing sialan,0,0.0,0,-1,0,1,0,0
6101,0,angkat telepon,0,0.0,0,0,0,0,0,0
6102,0,ah meler hidung,0,0.0,0,0,0,0,1,0
6103,1,s ã â â½ ã â â½ s ã â â½ ã â â½ sayang iya bebey terima kasih iya,0,0.0,0,2,2,0,0,0
6104,0,tidak berpengaruh adenya minum vit c kakak biar mangat tidak semangat koding,0,0.0,0,-1,0,1,0,2
6105,0,emotxtawa ketahuandeh hub awet eon jh_juliejiantie ea ea ea suka merayu jelek emotxtawa,2,0.0,0,0,1,1,0,0
6106,0,fikir enak pulang malam robot,0,0.0,2,1,1,0,0,0
6107,1,tidak na pacar tidur cantik kali emotxtawa,1,0.0,0,1,1,0,1,1
6108,1,kangen rumah rapi iya,0,0.0,0,0,1,1,0,0
6109,1,ã â â ½ ã â â½ ã â â ½ ã â â ã â â½ emotxtawa iya bagus menghalalkan haram a emotxtawa ngebet,2,0.0,0,0,1,1,1,0
6110,1,pilihan selamat pagi bismilah,2,0.0,0,2,2,0,1,0
6111,0,sejaj kblkn _ kebalikan emotxtawa jahat orang seriusan,-1,0.0,0,-1,0,1,0,0
6112,0,udahlah kaya bicara bodoh,0,0.0,0,-1,0,1,2,0
6113,0,marah tidak difoto acara motret acara menemani anaknya main dara iya deh pic ã â â,0,0.0,0,-1,0,1,1,1
6114,0,mention mention,-1,0.0,0,0,0,0,0,0
6115,0,juni malam muda mudi dikenal jakarta night festival anak sepeda serbu tidak kasi lihat penduduk jakarta eksis,0,0.0,0,0,1,1,1,1
6116,0,iya terbongkar tidak bohong terpojokan,1,0.0,0,1,1,0,0,1
6117,0,vidi whosingthis cinta hilang cinta ketuk pintu hati sepi ku buka sepenuh hati,0,0.0,0,2,4,2,2,0
6118,0,hadeuh nyamuk kaya kebon,0,0.0,0,-1,0,1,1,0
6119,0,deh sakit,0,0.0,0,-1,0,1,1,0
6120,0,lho cepat pulang iya tidak bilang sih cpxp,0,0.0,0,1,1,0,1,1
6121,0,jangan bilang sakit ã å â,0,0.0,0,-1,0,1,0,1
6122,0,au ah mod berantakan line balas,-2,0.0,0,-1,0,1,0,0
6123,1,setujuh sekeren kerenya rebut pacar orang keren mencari kebahagian pacar merebut orang,0,0.0,0,1,1,0,1,0
6124,0,berpikir pstv jangan berpikiran negativ tidak lho buang pikiran negativ negativ rumit,1,0.0,1,-4,1,5,0,1
6125,0,eh setan teriak setan o o,0,0.0,0,-2,0,2,0,0
6126,0,bali kaya pesantren rock rol emotxtawa h,1,0.0,0,0,0,0,1,0
6127,0,hadoh sih b indo tidak mengerti si indikator ngejelasin nya tidak,0,0.0,0,-1,0,1,0,2
6128,1,untung lagu bad girl ã â â ã � � âº lagu asik,0,0.0,0,2,2,0,1,0
6129,1,ah githa main nya kesini mengayuh sepeda tidak mengayuh sepeda bareng,1,0.0,0,0,0,0,0,1
6130,1,welcome in my new life,0,0.0,0,0,0,0,0,0
6131,1,eh jangan peran tidak bagus lek coba ceritain endingnya boy emotxtawa ikutlah,1,0.0,0,-1,0,1,1,1
6132,0,ã â å sibuk cari rupiah adik sibuk kak ã â â½,0,0.0,0,-2,0,2,0,0
6133,0,tidak untung jawa susi susah sinyal lipokarawaci,0,0.0,0,-2,0,2,0,1
6135,1,biarin ta emotxtawa bocah jorok ã â â ¾ ã â â ã â â¾ ã â â ½ ã â â rt mandi dolo ah siang ting,3,0.0,0,-1,0,1,0,0
6136,1,sahabat jail menyakiti tertawa,1,0.0,0,0,1,1,0,0
6137,1,kantuk mengalahkan penasaran lihat si tarno uji nyali emotxtawa,1,0.0,0,2,2,0,0,0
6138,1,nomor keberuntungan orang januari,0,0.0,0,1,1,0,0,0
6139,0,penasaran si wina bilang 17 _,-1,0.0,0,1,1,0,0,0
6140,1,semangkok bubur kakak perempuan manis hangat kue pukis alhamdulilah,1,0.0,0,3,3,0,0,0
6141,0,mati apapun ã â â½,0,0.0,0,-1,0,1,0,0
6142,1,selamat pagi selamat ritahun nisa,0,0.0,1,2,2,0,1,0
6143,1,suporter bulutangkis semangat iya indonesia,0,0.0,0,1,1,0,0,0
6144,1,keren a emotxtawa soda api p hua emotxtawa mantan kerumah kakak kasih minum kak,2,0.0,0,2,2,0,1,0
6145,0,tk pan min maaf tidak berhasil instal aplikasi tanyalkitab tk tk buka,0,0.0,0,-1,0,1,0,1
6146,1,kelasi dikampung cewek bodoh disana kutu buku kutu tertawa,0,0.0,0,0,1,1,0,0
6147,0,kecewa,0,0.0,0,-1,0,1,0,0
6148,1,sayang pin nya,0,0.0,0,1,1,0,0,0
6149,1,morning babas ã â â morning pwt semangat iya semoga ketemu cjrgeneration-cjrgeneration013,0,0.0,0,2,2,0,0,0
6150,1,sombong luh hitam wina jenong tembem sayang p,0,0.0,1,-1,1,2,1,0
6151,1,kece kak ryan,0,0.0,0,1,1,0,0,0
6152,0,sakit hati kali eh sakit,-1,0.0,0,-1,1,2,1,0
6153,1,ã � � â rt duanya cinta duanya memperjuangkan hubungan,0,0.0,0,1,1,0,0,0
6154,0,tes tes pemahaman alkitab fiuh _,-1,0.0,0,0,0,0,1,0
6155,1,kuliah tertawa terima kasih kabar,3,0.0,0,2,2,0,0,0
6156,0,cewek yah hawanya ksel marah-marah melulu _,-1,0.0,0,-1,0,1,0,0
6157,0,dibilang aneh mah mama bilang ã â â ½ ã å â ã â â½,0,0.0,0,-2,0,2,1,0
6158,1,wanjir game legendaris seram saudara laki laki juli game civilization v brave new world gajah mada of indonesia,0,0.0,0,0,1,1,0,0
6159,1,3 cewek akun cantik cantik cowoknya kece kece eksmud 3,2,0.0,0,4,4,0,0,0
6160,1,untung raisa selo kibasrambut,0,0.0,0,1,1,0,0,0
6161,0,dingin,-1,0.0,0,-1,0,1,0,0
6162,1,muslim dituntut melaksanakan kewajiban fundamen islam sangat,0,0.0,0,0,0,0,0,0
6163,0,orang pintr tidak cocok tom nimrung salah almt tertawa,0,0.0,0,-1,1,2,1,1
6164,1,care serba tulus tomorowadminrafting syarat tuk pacarmu,0,0.0,0,1,1,0,0,0
6165,1,huaw tankyu kakak iya lega cerita terima kasih ã â â½,-2,0.0,0,3,3,0,0,0
6166,1,ye ketek norak tertawa,0,0.0,0,0,1,1,0,0
6167,1,menikmati suasana malam besok surya terbit panarub laboratory pic ã â â,0,0.0,0,1,1,0,0,0
6168,1,ah sayang disuruh diet kampleng tertawa ngambing melampiaskan keki an kambing saudara,0,0.0,1,2,2,0,0,0
6169,1,iya sih emotxtawa males oke deh kamis meg,1,0.0,0,0,1,1,0,0
6170,1,janji gabakal kaya,1,0.0,0,0,0,0,2,0
6171,0,kesal ayah tidak habis pikir deh _,-1,0.0,1,-1,0,1,1,1
6172,1,semangat duta ime jgj,0,0.0,1,1,1,0,0,0
6173,1,palingan terlambat ã â å ¾ ã â â ¹ ã â â½ ã â â½ yoman habis shalat langsung caw yawn tertawa bagus habis magh,0,0.0,0,1,2,1,1,0
6174,0,ngaku-ngaku kertas binder nya asli asli palsu belinya abang ager oia kertas file nyebutnya,1,0.0,0,1,2,1,3,0
6175,0,abisnya pamer pamer _ jahat _ selengkatkakifahrul,-3,0.0,0,-1,0,1,0,0
6176,1,emotxtawa njir tertawa rt berharap fatin menang suaranya keren nyanyi sunlight mama lemon sunlight mama lemon,1,0.0,1,3,3,0,0,0
6177,0,ilmuwan fakta pengunan senjata kimia rezim asad kejam,0,0.0,0,0,1,1,1,0
6178,0,tidak maco be tidak akh tapo jahat _ feminim sih akh tidak seru,-2,0.0,2,-2,0,2,1,3
6179,1,makan siang cantik with michael joshua ipeke komachi ã â â,0,0.0,0,2,2,0,0,0
6180,0,sok bijak kamfret deh ã â â½ ã â â ½0 ã â â½ ã â â½,0,0.0,1,0,1,1,0,0
6181,0,njir merokok samping asep rokok bau,0,0.0,0,-1,0,1,0,0
6182,1,perawatan lengkap ujung kaki ampe ujung rambut dada kudunya dirawat,0,0.0,0,1,1,0,0,0
6183,1,teman curahan hati enak habis tidak cepu unknown,0,0.0,0,2,2,0,1,1
6184,1,beruntung tidak salahnya coba,0,0.0,0,2,2,0,0,1
6185,1,ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ semoga cepat sembuh metz pagi al,0,0.0,0,3,3,0,2,0
6186,0,curahan hati jan coy tidak enak jaman polbek kepastian rt,0,0.0,0,0,1,1,0,1
6187,1,hidup bahagia uang jabatan hidup bahagia kedamaian hargai orang,0,0.0,0,4,4,0,0,0
6188,0,ã â â½ ã â â ½a ã â â ½a ã â â ½a ã â â½ iya semoga amnesia iya aduh enak iya kakak tenar iri deh iya,-2,0.0,0,1,3,2,1,0
6189,1,nonton ftvfilm bad marsha god minah bikin geregetan kakak ackting keren sangat berhasil penonton terbawa suasana,0,0.0,0,2,2,0,1,0
6190,0,wara fitnah koko sipit gara-gara si yeh cargeran b pakai rusak ã â â½ ã â â½,0,0.0,0,-2,0,2,1,0
6191,0,dasar cowok modus cowok gila cowok sinting cowok stres cowok tidak ngotak dasar gila,0,0.0,1,-1,1,2,0,1
6192,1,melindungi orang sayang jhon carter,0,0.0,0,1,1,0,0,0
6193,1,hidup penuh pilihan pastikan hati nurani pikiran sejalan niat bakatmu pilihanmu sesuai harapanmu,1,0.0,0,3,4,1,2,0
6194,1,iya tidak item-item sin busi vespa mah hitam areng oh tertawa hah putih salah lihat kali hitam tertawa biar,0,0.0,0,-3,2,5,4,1
6195,0,adik rata-rata tidak masuk jakarta keras,0,0.0,0,-1,0,1,2,1
6196,0,ku bajingan penjahat kelamin menikam belas kasihan do t go anya where tonight saudara laki laki we want pas,0,0.0,0,-2,1,3,0,0
6197,1,oalah oke oke terima kasih iya,0,0.0,0,3,3,0,0,0
6198,0,iya ujian selesai ujian tidak libur wets iya saudara laki laki mh ujian ye enak orang,-2,0.0,0,1,2,1,0,1
6199,0,pagi jam,0,0.0,0,0,0,0,0,0
6200,1,iya deh iya barang mantan utuh cocok,0,0.0,0,2,2,0,1,0
6201,1,love cinta,0,0.0,0,2,2,0,0,0
6202,1,yeay cuti draftfcb ã â â,0,0.0,1,0,0,0,0,0
6203,0,sakit perhatin,0,0.0,0,-1,0,1,0,0
6204,0,susah dihubungin ty katanye habis uk sumpahya benci sangat,0,0.0,0,-2,0,2,0,0
6205,0,kacau,0,0.0,0,-1,0,1,0,0
6206,0,yah iyaya _ iya jendela gede tidak jendela,-2,0.0,0,0,0,0,0,1
6207,0,ih kakak norak,0,0.0,1,-1,0,1,0,0
6208,0,enga cowok kaya cowok tidak tahan cewek,0,0.0,0,1,1,0,1,1
6209,0,ayan tidak pacar lengkap,0,0.0,0,0,1,1,1,1
6210,1,iya allah mamiku kesehatan umur berkah aamiin ã â â½,0,0.0,0,3,3,0,0,0
6211,0,fuk apan peh _ gosip melert dendeng gurih gurih legit,-2,0.0,0,1,2,1,1,0
6212,1,tidak orang pelit belajar tingal lihat p,0,0.0,0,1,2,1,1,1
6213,1,duluan emotxtangis hoks status apan tom norak emotxtawa,0,0.0,0,-1,0,1,1,0
6214,0,hp ngeselin keadan ngeselin lengkap,0,0.0,0,1,1,0,0,0
6215,1,norak lurt adel cantik bangetsi,-1,0.0,0,0,1,1,0,0
6216,0,dih ririn fitnahnya bikin heru parah,0,0.0,0,-1,0,1,1,0
6217,1,x lia hati traktir lgian yan aneh aneh tertawa emotxtawa w iya si tidak mngkin lia traktir,1,0.0,0,0,2,2,2,1
6218,1,kakak cantik hapybirthday wish al the terbaik longlife cantik imut cempreng lucu yah hihi ã â â sukses kakak alahblesyou,0,0.0,0,6,6,0,1,0
6219,1,tertawa iya ren ajakin cepat darla orang dipoto ngajakin alan-alan eymn,0,0.0,0,2,2,0,2,0
6220,1,balikan iya iya cinta tidak lari kemana jodoh ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ ã â â½ ã â â½,0,0.0,0,3,3,0,0,1
6221,1,hai orang orang beriman jagalah dirimu keluargamu siksa api neraka,0,0.0,0,-2,0,2,0,0
6222,0,pakai nengok-nengok negor takut salah orang mengeluh tidak ketemu cewek cuco deh,0,0.0,0,-2,0,2,4,1
6223,0,bikin instagram kaya,0,0.0,0,0,0,0,1,0
6224,1,selamat makan cost cinere pic,0,0.0,0,2,2,0,1,0
6225,1,bilang lucu pakai kerudung tertawa,0,0.0,0,2,2,0,0,0
6226,0,lumayan nek bah jakarta iya nek b,0,0.0,0,0,0,0,0,0
6227,1,on pin iya he alhamdulilah bagus deh he he enga oalah kirain,2,0.0,0,2,2,0,1,0
6228,1,hm iya tidak kece habis tertawa,0,0.0,0,0,1,1,0,1
6229,1,keren out now nike air pegasus 9-9 usa,0,0.0,1,1,1,0,1,0
6230,0,sedih sangat jauh-jauh datengin grgr idam selasa ã â â ninotchka cofe parlour diner ã â â,0,0.0,0,-1,0,1,1,0
6231,1,wak kenyang,0,0.0,0,1,1,0,0,0
6232,0,tidak da suka pekerjan cocok orang desember penyiar radio penulis pengacara dokter polisi artis pilot,0,0.0,0,1,2,1,1,1
6233,1,jakbar mal puri cengkareng tertawa tidak level ngegahol cafe kemang sayang,1,0.0,0,2,2,0,0,1
6234,1,ye dongseh senang iwh,2,0.0,1,1,1,0,0,0
6235,1,sok imut sangat tertawa zakiyong dvd ing chika,0,0.0,0,1,2,1,0,0
6236,1,tao badanya demam makaseh ea ira ã â â sakit o uh iya calon bu guru ã â â,0,0.0,0,-1,0,1,0,0
6237,1,sodorin air cuci muka p mari tegakan nilai-nilai kebaikan keadilan kebenaran disetiap,0,0.0,0,2,2,0,1,0
6238,0,jam melelahkan _,-1,0.0,0,-1,0,1,0,0
6239,1,enak tidak hua emotxtawa cont,1,0.0,0,1,1,0,1,1
6240,1,tawa yona wakwaka rt sulit ye ling php disuruh pakai baju adat lailahailaulah,0,0.0,1,0,1,1,0,0
6241,1,ontheway church sayang ã â â,0,0.0,0,1,1,0,0,0
6242,1,iqbal behel nya kece deh jam sayang halo,2,0.0,0,2,2,0,1,0
6243,1,blay sibuk p,0,0.0,0,-1,0,1,0,0
6244,0,terserah marah terserah tidak peduli,0,0.0,0,-4,0,4,0,1
6245,1,adik _ emotxtawa h enak kakak seru barang ank-ank skelas,-1,0.0,0,2,2,0,1,0
6246,1,cepat online emotxtawa,1,0.0,0,1,1,0,1,0
6247,1,sabar fhy tidak dihargain cowok,2,0.0,1,0,1,1,1,1
6248,1,alhamdulilah baby nat aqiqah cepat yah sayang hug,0,0.0,0,3,3,0,2,0
6249,0,tidak kece tidak guweh ã â â½,-2,0.0,1,-1,0,1,0,2
6250,0,orang kaya orang lau,0,0.0,0,0,0,0,1,0
6251,1,akunya iri iri sangat kakak yanti,2,0.0,0,-2,0,2,0,0
6252,1,kenyang makan gorengan,0,0.0,0,2,2,0,0,0
6253,0,nungu orang bangets teraktir mie ayam yes,0,0.0,0,0,0,0,0,0
6254,1,lelah habis beresihin kamar ã â â,0,0.0,0,-1,0,1,0,0
6255,1,selamat ulang kartu perdana gthn jangan lupa traktiran iya,3,0.0,0,1,2,1,1,0
6256,1,boyo silau bantuin yah tertawa,0,0.0,0,2,2,0,0,0
6257,1,besok jadwalnya nyetor uang bang salon ã â â½ lma tidak maskeran rambut biar sehat wangi rambutnya ã â â ¹,0,0.0,0,2,2,0,2,1
6258,1,neida sombong emotxtangis morning to kakak morning adik kecekuh,-3,0.0,0,-1,0,1,1,0
6259,1,sulit,0,0.0,0,-1,0,1,1,0
6260,1,tertawa semangat yaw,0,0.0,0,2,2,0,0,0
6261,1,terima kasih oke sayang belajar rajin iya q mendoakan mu sampun belajar,0,0.0,0,7,7,0,0,0
6262,1,kode cal curahan hati jombs sih seneng senang tertawa,0,0.0,0,3,3,0,0,0
6263,1,tertawa penuh wildan lidya,0,0.0,0,0,1,1,1,0
6264,1,emotxtawa nt time chy tmni aamiin doakn chy lancar penelitian a,1,0.0,0,2,2,0,1,0
6265,1,sholat keren,0,0.0,0,2,2,0,0,0
6266,0,orang rendahkan ucapan murahan wanita tuna susila sampah harga dwitasari,0,0.0,0,-2,0,2,0,0
6267,1,sbgt pengantar sayang skripsi pakai pengantar fikir-fikir smlem mama melamar,0,0.0,0,1,1,0,1,0
6268,1,nilai sisi positif sekian,0,0.0,0,1,1,0,1,0
6269,1,kecepetan iya lamain emotxtawa thun cepat sangat sebentar selesai kuliah,1,0.0,0,2,2,0,2,0
6270,1,i m ful argh kenyang bego 9,0,0.0,0,1,1,0,0,0
6271,1,semangat chers,0,0.0,0,1,1,0,0,0
6272,1,nendang mah kuat,0,0.0,0,0,1,1,1,0
6273,1,akting serius slangkangan gatal tidak ganti b emotxtawa,1,0.0,0,-1,1,2,1,1
6274,1,bakso malang mandirikarnaval,0,0.0,0,-1,0,1,1,0
6275,1,tenang saudara laki laki nt,0,0.0,0,1,1,0,0,0
6276,1,terang terang,0,0.0,0,2,2,0,0,0
6277,1,tkp informasi jadwal artis favorit lho langsung submit request,0,0.0,1,1,1,0,1,0
6278,1,avanya cantik test avatar,0,0.0,0,1,1,0,1,0
6279,1,egila mudah rambut gampang kusut menandakan hdp teratur mudah sedih nmn pribadi ceria tanguh,0,0.0,0,2,4,2,3,0
6280,1,kode sangat sih adik sayang deh rizka mah tidak jahat kakak orang rizka,0,0.0,0,1,2,1,1,1
6281,0,ruang sidang kaya pasar yah,0,0.0,0,0,0,0,2,0
6282,1,sabar saudara laki laki calon orang sukses paket habis pulsa habis uang habis,0,0.0,0,2,2,0,1,0
6283,0,enak bicara emotxtawa w latihan pelepasan _ bosan,-1,0.0,0,0,1,1,0,0
6284,0,wisuda tidak kasih apa-apa deh surat september kemarin kasih suratnya didia hilang tidak,0,0.0,0,-1,1,2,0,2
6285,1,gratis,0,0.0,0,1,1,0,1,0
6286,0,neng _ rt iya jamb iya,-2,0.0,0,0,0,0,0,0
